Location,Price,Hour,Time_of_Day,Day,Day_W,Month,Year,Season,High_Qual,Position,Seafront
Philadelphia,184.69946587919864,14,Afternoon,15,Thursday,12,2016,winter,False,east,seacost
Phoenix,125.78525953097066,19,Evening,11,Sunday,4,2021,spring,False,southwestern,inland
Philadelphia,212.0113712402878,3,Night,1,Monday,6,2015,summer,False,east,seacost
Phoenix,172.74215418852452,18,Evening,16,Thursday,6,2022,summer,False,southwestern,inland
San Jose,321.05903112536384,7,Morning,2,Sunday,1,2022,winter,False,west,seacost
Chicago,225.2643632309569,2,Night,9,Monday,1,2023,winter,False,midwest,seacost
Philadelphia,386.9771978953988,7,Morning,22,Sunday,4,2018,spring,True,east,seacost
Phoenix,120.4089621496056,16,Afternoon,7,Monday,9,2020,autumn,False,southwestern,inland
San Antonio,141.77535121896693,5,Night,13,Monday,3,2017,spring,False,south,inland
Phoenix,132.26190357699926,23,Evening,16,Wednesday,12,2020,winter,False,southwestern,inland
Los Angeles,322.8703311303115,19,Evening,16,Wednesday,12,2020,winter,False,west,seacost
San Jose,225.98748076193465,18,Evening,10,Sunday,5,2020,spring,False,west,seacost
Dallas,212.5883700283874,23,Evening,23,Sunday,7,2023,summer,False,south,inland
San Antonio,148.88511840032055,14,Afternoon,9,Thursday,4,2020,spring,False,south,inland
San Antonio,131.79391672910396,2,Night,26,Thursday,1,2017,winter,False,south,inland
San Diego,170.90503952600542,23,Evening,1,Thursday,10,2015,autumn,False,southwestern,seacost
San Antonio,231.26591789305468,16,Afternoon,11,Sunday,7,2021,summer,False,south,inland
New York,191.45488540458413,20,Evening,24,Sunday,1,2016,winter,False,east,seacost
Phoenix,139.3164723360107,2,Night,30,Sunday,6,2019,summer,False,southwestern,inland
Houston,191.1195375454121,12,Afternoon,12,Wednesday,7,2023,summer,False,south,seacost
San Diego,369.87810435742176,7,Morning,6,Sunday,1,2019,winter,False,southwestern,seacost
San Jose,179.13038273791838,5,Night,4,Friday,2,2022,winter,False,west,seacost
San Jose,401.3834722496412,19,Evening,7,Wednesday,6,2017,summer,True,west,seacost
Chicago,143.06361789455113,15,Afternoon,15,Tuesday,9,2015,autumn,False,midwest,seacost
San Jose,442.9378395040187,22,Evening,7,Friday,9,2018,autumn,True,west,seacost
San Antonio,193.73024032954032,7,Morning,6,Tuesday,10,2020,autumn,False,south,inland
New York,443.0283264571011,15,Afternoon,28,Friday,5,2021,spring,True,east,seacost
Chicago,265.162924738811,20,Evening,27,Wednesday,9,2023,autumn,False,midwest,seacost
San Antonio,247.8527158796604,6,Morning,28,Wednesday,9,2022,autumn,False,south,inland
Dallas,118.62131429595055,23,Evening,6,Sunday,3,2016,spring,False,south,inland
San Diego,219.18594952139463,19,Evening,21,Monday,8,2023,summer,False,southwestern,seacost
Los Angeles,173.6550371396873,0,Night,2,Thursday,4,2015,spring,False,west,seacost
Los Angeles,222.91925530620057,23,Evening,4,Saturday,4,2020,spring,False,west,seacost
New York,185.6183156862732,6,Morning,12,Sunday,9,2021,autumn,False,east,seacost
Los Angeles,229.03529023031328,2,Night,13,Wednesday,4,2022,spring,False,west,seacost
Phoenix,182.852598902934,0,Night,9,Thursday,5,2019,spring,False,southwestern,inland
Los Angeles,157.9612989776596,6,Morning,4,Saturday,2,2023,winter,False,west,seacost
New York,357.74163581100595,18,Evening,5,Thursday,5,2022,spring,False,east,seacost
Houston,234.65231992544656,7,Morning,26,Thursday,3,2015,spring,False,south,seacost
Dallas,168.385688006678,15,Afternoon,1,Monday,3,2021,spring,False,south,inland
Phoenix,204.64961069333992,19,Evening,21,Saturday,11,2015,autumn,False,southwestern,inland
San Jose,178.1821532275325,21,Evening,13,Monday,2,2017,winter,False,west,seacost
Los Angeles,301.2650187557302,20,Evening,1,Saturday,4,2023,spring,False,west,seacost
Phoenix,285.85923951524285,0,Night,7,Thursday,12,2017,winter,True,southwestern,inland
San Antonio,163.71379049026473,3,Night,1,Saturday,10,2016,autumn,False,south,inland
Phoenix,233.4820759927364,0,Night,29,Wednesday,7,2020,summer,False,southwestern,inland
Chicago,151.6314869770541,14,Afternoon,1,Thursday,3,2018,spring,False,midwest,seacost
San Diego,340.5716171531983,23,Evening,30,Wednesday,8,2017,summer,False,southwestern,seacost
Phoenix,157.8812185894402,9,Morning,26,Monday,12,2022,winter,False,southwestern,inland
Chicago,163.96592688170804,4,Night,19,Thursday,4,2018,spring,False,midwest,seacost
Philadelphia,282.4933630506216,12,Afternoon,17,Friday,7,2020,summer,False,east,seacost
San Jose,156.03226385624805,2,Night,13,Tuesday,3,2018,spring,False,west,seacost
Chicago,318.9456070121672,9,Morning,12,Monday,8,2019,summer,True,midwest,seacost
San Jose,151.4086428577641,1,Night,22,Wednesday,3,2023,spring,False,west,seacost
San Antonio,235.563307359246,18,Evening,10,Monday,10,2022,autumn,False,south,inland
Philadelphia,200.2020730299629,23,Evening,30,Saturday,7,2022,summer,False,east,seacost
Dallas,271.74268486697093,14,Afternoon,5,Sunday,2,2023,winter,False,south,inland
Dallas,321.6814799258364,5,Night,9,Saturday,1,2016,winter,True,south,inland
San Diego,209.65088018558825,8,Morning,21,Friday,2,2020,winter,False,southwestern,seacost
Dallas,236.75461357192407,16,Afternoon,14,Thursday,7,2016,summer,False,south,inland
Dallas,240.2492248798046,20,Evening,22,Wednesday,8,2018,summer,False,south,inland
New York,321.67557173726203,18,Evening,25,Saturday,5,2019,spring,False,east,seacost
Los Angeles,202.4628571393731,1,Night,26,Tuesday,1,2021,winter,False,west,seacost
San Jose,435.82470345509546,16,Afternoon,27,Tuesday,8,2019,summer,True,west,seacost
San Jose,284.13761358528825,9,Morning,12,Saturday,1,2019,winter,False,west,seacost
San Diego,376.9944282919158,0,Night,3,Sunday,9,2023,autumn,True,southwestern,seacost
Dallas,263.88544056985097,3,Night,14,Thursday,12,2023,winter,False,south,inland
Philadelphia,207.3336072223348,3,Night,14,Monday,9,2015,autumn,False,east,seacost
Chicago,315.3114767285945,18,Evening,20,Friday,3,2020,spring,True,midwest,seacost
Dallas,197.23126298633665,18,Evening,9,Thursday,8,2018,summer,False,south,inland
Dallas,303.8427033644556,6,Morning,8,Friday,5,2020,spring,True,south,inland
San Diego,302.7564043380404,17,Afternoon,27,Monday,3,2017,spring,False,southwestern,seacost
Houston,303.9817796080676,13,Afternoon,1,Wednesday,9,2021,autumn,True,south,seacost
San Antonio,238.5063180155532,7,Morning,23,Sunday,6,2019,summer,False,south,inland
New York,367.57628394589216,11,Morning,31,Thursday,8,2017,summer,False,east,seacost
Philadelphia,260.34433930094264,17,Afternoon,4,Monday,1,2016,winter,False,east,seacost
New York,436.8250904169672,23,Evening,16,Thursday,7,2020,summer,True,east,seacost
San Jose,343.1970597688912,10,Morning,13,Monday,2,2023,winter,False,west,seacost
Los Angeles,258.6794135962903,0,Night,21,Tuesday,7,2015,summer,False,west,seacost
Dallas,243.4065071081434,18,Evening,28,Saturday,8,2021,summer,False,south,inland
Houston,114.2225036280534,19,Evening,17,Sunday,3,2019,spring,False,south,seacost
San Antonio,160.31496333490986,6,Morning,14,Tuesday,4,2020,spring,False,south,inland
San Jose,348.0520612478055,8,Morning,15,Sunday,8,2021,summer,False,west,seacost
Phoenix,158.0155214420888,1,Night,9,Saturday,7,2016,summer,False,southwestern,inland
New York,335.40462869965245,12,Afternoon,12,Saturday,8,2017,summer,False,east,seacost
Houston,204.32911420806852,16,Afternoon,2,Wednesday,9,2020,autumn,False,south,seacost
Houston,139.80429412893906,13,Afternoon,20,Friday,9,2019,autumn,False,south,seacost
Philadelphia,207.55340474856803,20,Evening,11,Monday,5,2015,spring,False,east,seacost
San Antonio,213.992982140253,4,Night,22,Sunday,8,2021,summer,False,south,inland
New York,327.261828374452,13,Afternoon,16,Monday,11,2020,autumn,False,east,seacost
Philadelphia,279.32456470089045,11,Morning,20,Thursday,7,2017,summer,False,east,seacost
Phoenix,230.64016397142672,18,Evening,14,Sunday,8,2022,summer,False,southwestern,inland
San Jose,345.63098100050667,22,Evening,11,Friday,12,2020,winter,False,west,seacost
New York,279.42553063019216,21,Evening,10,Wednesday,6,2020,summer,False,east,seacost
Chicago,335.17118300425506,6,Morning,27,Sunday,3,2022,spring,True,midwest,seacost
Phoenix,173.5123740095793,8,Morning,20,Wednesday,5,2020,spring,False,southwestern,inland
Philadelphia,243.32488056906297,22,Evening,19,Friday,8,2022,summer,False,east,seacost
Los Angeles,389.7385394043882,10,Morning,26,Thursday,10,2023,autumn,True,west,seacost
New York,391.8581967138257,1,Night,29,Wednesday,7,2015,summer,True,east,seacost
San Diego,337.0888033913025,17,Afternoon,23,Wednesday,2,2022,winter,False,southwestern,seacost
San Antonio,120.04537746246022,9,Morning,6,Thursday,12,2018,winter,False,south,inland
Houston,312.2861750238281,22,Evening,1,Saturday,10,2022,autumn,True,south,seacost
Dallas,267.13308590080453,15,Afternoon,11,Tuesday,7,2023,summer,False,south,inland
Los Angeles,419.6771618390026,19,Evening,28,Friday,7,2023,summer,True,west,seacost
Chicago,155.8675931179185,5,Night,16,Saturday,7,2022,summer,False,midwest,seacost
San Antonio,273.6252114736428,13,Afternoon,6,Thursday,7,2023,summer,True,south,inland
New York,198.74788040291247,7,Morning,27,Tuesday,9,2022,autumn,False,east,seacost
Philadelphia,290.0454867137995,19,Evening,28,Saturday,3,2015,spring,False,east,seacost
Phoenix,124.7639965698883,12,Afternoon,13,Thursday,7,2023,summer,False,southwestern,inland
New York,404.4024687966703,1,Night,22,Monday,5,2017,spring,True,east,seacost
Philadelphia,339.9029292685028,17,Afternoon,21,Friday,8,2020,summer,True,east,seacost
Dallas,235.20216249521053,23,Evening,19,Monday,9,2022,autumn,False,south,inland
San Antonio,181.43665944519995,11,Morning,4,Wednesday,11,2015,autumn,False,south,inland
Chicago,136.60007890923313,12,Afternoon,9,Tuesday,1,2018,winter,False,midwest,seacost
Chicago,287.38290555469524,8,Morning,11,Friday,9,2020,autumn,False,midwest,seacost
Houston,209.7793901891752,21,Evening,21,Saturday,4,2018,spring,False,south,seacost
San Antonio,244.4111198940696,18,Evening,26,Monday,2,2018,winter,False,south,inland
Chicago,327.931758222871,16,Afternoon,25,Tuesday,10,2022,autumn,True,midwest,seacost
Chicago,354.12516120069256,21,Evening,3,Saturday,10,2015,autumn,True,midwest,seacost
San Diego,379.6249358699311,15,Afternoon,13,Friday,4,2018,spring,True,southwestern,seacost
Dallas,112.57709852070045,10,Morning,28,Sunday,4,2019,spring,False,south,inland
San Antonio,171.99561289567276,11,Morning,27,Saturday,10,2018,autumn,False,south,inland
New York,368.9971687272174,4,Night,23,Monday,4,2018,spring,False,east,seacost
Dallas,147.75852899751692,3,Night,28,Thursday,10,2021,autumn,False,south,inland
New York,306.3109818612388,0,Night,11,Saturday,12,2021,winter,False,east,seacost
Dallas,121.9543574346358,3,Night,23,Sunday,5,2021,spring,False,south,inland
New York,209.99895746892,21,Evening,28,Saturday,7,2018,summer,False,east,seacost
San Jose,155.5565383381842,3,Night,29,Thursday,9,2016,autumn,False,west,seacost
San Jose,388.1093110072262,8,Morning,9,Thursday,2,2017,winter,False,west,seacost
Phoenix,144.78493761207602,12,Afternoon,5,Sunday,4,2015,spring,False,southwestern,inland
San Diego,236.6984705951328,12,Afternoon,14,Saturday,3,2020,spring,False,southwestern,seacost
San Diego,399.86276217036544,22,Evening,19,Thursday,3,2020,spring,True,southwestern,seacost
San Diego,337.2360325385892,2,Night,2,Wednesday,6,2021,summer,False,southwestern,seacost
New York,159.55167885939235,1,Night,14,Friday,9,2018,autumn,False,east,seacost
Houston,146.2327144295408,14,Afternoon,19,Monday,6,2023,summer,False,south,seacost
Chicago,269.15481635994325,11,Morning,30,Tuesday,8,2016,summer,False,midwest,seacost
Phoenix,215.4457177208335,15,Afternoon,5,Wednesday,12,2018,winter,False,southwestern,inland
Philadelphia,191.85213355737227,8,Morning,3,Wednesday,11,2021,autumn,False,east,seacost
Philadelphia,372.8956394604464,11,Morning,26,Tuesday,6,2018,summer,True,east,seacost
Chicago,267.351829431815,3,Night,30,Tuesday,6,2015,summer,False,midwest,seacost
Phoenix,207.12656060499165,18,Evening,29,Tuesday,6,2021,summer,False,southwestern,inland
Dallas,239.7801947980056,1,Night,11,Thursday,5,2023,spring,False,south,inland
New York,369.0366088550309,7,Morning,19,Thursday,1,2017,winter,False,east,seacost
New York,243.58349864388052,20,Evening,27,Sunday,12,2020,winter,False,east,seacost
Los Angeles,251.5018974205057,16,Afternoon,17,Tuesday,10,2017,autumn,False,west,seacost
Phoenix,141.96874979502442,23,Evening,31,Thursday,3,2022,spring,False,southwestern,inland
San Jose,205.85790176410083,13,Afternoon,16,Monday,1,2023,winter,False,west,seacost
Los Angeles,404.4242691955014,11,Morning,4,Thursday,7,2019,summer,True,west,seacost
Houston,272.7011749108433,8,Morning,23,Sunday,4,2017,spring,False,south,seacost
Dallas,217.9009378958648,6,Morning,7,Thursday,7,2022,summer,False,south,inland
Dallas,160.03121815413115,8,Morning,2,Tuesday,4,2019,spring,False,south,inland
Houston,165.95842598948647,12,Afternoon,30,Monday,10,2023,autumn,False,south,seacost
Philadelphia,145.08758168420766,2,Night,14,Friday,7,2017,summer,False,east,seacost
Dallas,205.5716576227866,12,Afternoon,6,Wednesday,1,2021,winter,False,south,inland
Chicago,194.83101167858464,22,Evening,8,Thursday,2,2018,winter,False,midwest,seacost
Houston,263.1955675394011,15,Afternoon,26,Monday,1,2015,winter,False,south,seacost
Dallas,193.10540464434584,12,Afternoon,28,Monday,1,2019,winter,False,south,inland
New York,203.88110326789047,20,Evening,14,Monday,8,2017,summer,False,east,seacost
Philadelphia,136.4164693817461,4,Night,28,Saturday,3,2020,spring,False,east,seacost
Dallas,124.7949189219147,23,Evening,13,Friday,1,2023,winter,False,south,inland
New York,353.81783204957014,10,Morning,15,Thursday,2,2018,winter,False,east,seacost
New York,286.10905336681355,18,Evening,9,Wednesday,1,2019,winter,False,east,seacost
New York,310.97376333261667,16,Afternoon,8,Saturday,6,2019,summer,False,east,seacost
Philadelphia,363.134536190489,0,Night,14,Tuesday,6,2022,summer,True,east,seacost
Philadelphia,387.4881263231431,17,Afternoon,11,Wednesday,3,2020,spring,True,east,seacost
San Jose,215.06909531954216,22,Evening,17,Monday,7,2017,summer,False,west,seacost
San Diego,325.6618968680282,21,Evening,12,Tuesday,3,2019,spring,False,southwestern,seacost
San Diego,213.73026548640212,4,Night,12,Monday,9,2022,autumn,False,southwestern,seacost
Dallas,114.54321988246032,16,Afternoon,9,Wednesday,12,2020,winter,False,south,inland
New York,377.5135961508424,19,Evening,12,Wednesday,9,2018,autumn,False,east,seacost
San Diego,229.604802230291,19,Evening,14,Thursday,4,2016,spring,False,southwestern,seacost
Chicago,212.0313346012555,14,Afternoon,24,Monday,5,2021,spring,False,midwest,seacost
Phoenix,217.6634227107212,8,Morning,9,Thursday,6,2016,summer,False,southwestern,inland
Los Angeles,372.6935674661333,4,Night,7,Friday,2,2020,winter,False,west,seacost
San Antonio,225.79636871822976,19,Evening,17,Tuesday,9,2019,autumn,False,south,inland
San Diego,384.3421835252706,23,Evening,22,Thursday,3,2018,spring,True,southwestern,seacost
San Jose,232.0626104446908,9,Morning,14,Sunday,8,2016,summer,False,west,seacost
Chicago,311.5312401390153,16,Afternoon,20,Sunday,9,2020,autumn,True,midwest,seacost
San Antonio,137.12718886119043,7,Morning,11,Tuesday,5,2021,spring,False,south,inland
Houston,319.6141645338278,21,Evening,27,Monday,7,2015,summer,True,south,seacost
Houston,261.2474208053194,6,Morning,28,Wednesday,9,2022,autumn,False,south,seacost
San Jose,214.65230313406755,7,Morning,16,Tuesday,6,2015,summer,False,west,seacost
San Antonio,289.47411809778487,15,Afternoon,29,Sunday,11,2020,autumn,True,south,inland
San Jose,369.25674203104734,13,Afternoon,27,Tuesday,2,2018,winter,False,west,seacost
San Jose,226.18249277850776,22,Evening,15,Monday,8,2022,summer,False,west,seacost
Los Angeles,199.72735366289493,5,Night,25,Wednesday,3,2020,spring,False,west,seacost
Philadelphia,264.73218562197246,13,Afternoon,31,Monday,10,2022,autumn,False,east,seacost
Phoenix,105.13254361090632,0,Night,5,Wednesday,8,2015,summer,False,southwestern,inland
Houston,155.64341659704408,16,Afternoon,25,Sunday,1,2015,winter,False,south,seacost
San Jose,277.40564062545184,5,Night,9,Monday,3,2015,spring,False,west,seacost
Phoenix,174.83399606684512,17,Afternoon,15,Saturday,4,2023,spring,False,southwestern,inland
Los Angeles,269.801118822147,18,Evening,4,Wednesday,10,2017,autumn,False,west,seacost
San Jose,233.28861188841955,5,Night,1,Thursday,4,2021,spring,False,west,seacost
New York,326.03530393745064,4,Night,7,Monday,10,2019,autumn,False,east,seacost
Los Angeles,381.8795696585048,22,Evening,15,Wednesday,7,2020,summer,True,west,seacost
New York,185.25955678861,18,Evening,19,Monday,10,2015,autumn,False,east,seacost
New York,305.21373214623424,20,Evening,17,Thursday,10,2019,autumn,False,east,seacost
Philadelphia,164.33770764973988,11,Morning,19,Thursday,10,2017,autumn,False,east,seacost
San Jose,365.0579043577781,8,Morning,12,Tuesday,7,2022,summer,False,west,seacost
Phoenix,179.21194056145873,4,Night,7,Sunday,8,2022,summer,False,southwestern,inland
Philadelphia,277.00954108321235,13,Afternoon,16,Wednesday,2,2022,winter,False,east,seacost
Chicago,163.98716069137888,0,Night,11,Friday,9,2020,autumn,False,midwest,seacost
New York,193.4543278030132,12,Afternoon,11,Sunday,6,2023,summer,False,east,seacost
San Antonio,197.6112561297909,21,Evening,29,Saturday,6,2019,summer,False,south,inland
Phoenix,171.12254756999113,2,Night,10,Wednesday,3,2021,spring,False,southwestern,inland
Phoenix,288.0863890505626,14,Afternoon,8,Thursday,3,2018,spring,True,southwestern,inland
Chicago,303.67806091367163,5,Night,15,Sunday,9,2019,autumn,False,midwest,seacost
Dallas,274.7059963671204,17,Afternoon,16,Sunday,12,2018,winter,False,south,inland
San Jose,421.11592192378,2,Night,15,Thursday,9,2016,autumn,True,west,seacost
San Antonio,116.68448708840371,16,Afternoon,9,Thursday,2,2017,winter,False,south,inland
San Diego,294.6138915782738,3,Night,13,Saturday,4,2019,spring,False,southwestern,seacost
San Diego,303.65329930761527,3,Night,26,Saturday,5,2018,spring,False,southwestern,seacost
San Antonio,292.3872757094458,21,Evening,4,Saturday,6,2022,summer,True,south,inland
San Antonio,158.42950535850977,15,Afternoon,1,Saturday,4,2017,spring,False,south,inland
New York,222.24863397463403,21,Evening,4,Wednesday,11,2015,autumn,False,east,seacost
San Diego,168.08230383433937,3,Night,13,Friday,4,2018,spring,False,southwestern,seacost
Philadelphia,134.27170369378328,18,Evening,18,Sunday,3,2018,spring,False,east,seacost
Dallas,314.4964496942819,3,Night,17,Friday,3,2023,spring,True,south,inland
San Jose,350.97496397727303,13,Afternoon,15,Monday,4,2019,spring,False,west,seacost
San Jose,385.54587360694137,11,Morning,8,Tuesday,2,2022,winter,False,west,seacost
Dallas,171.9806232658688,17,Afternoon,18,Saturday,3,2017,spring,False,south,inland
New York,325.92304985589806,8,Morning,22,Thursday,10,2020,autumn,False,east,seacost
Dallas,124.07015854661586,1,Night,25,Sunday,10,2015,autumn,False,south,inland
San Diego,275.9757268616944,15,Afternoon,15,Wednesday,2,2023,winter,False,southwestern,seacost
Phoenix,295.49902794888936,9,Morning,31,Saturday,12,2016,winter,True,southwestern,inland
New York,412.9515735949772,5,Night,24,Sunday,5,2020,spring,True,east,seacost
New York,251.44768555105367,1,Night,3,Tuesday,1,2023,winter,False,east,seacost
San Diego,409.2396432716196,23,Evening,1,Sunday,12,2019,winter,True,southwestern,seacost
Philadelphia,190.2424228825132,3,Night,29,Sunday,12,2019,winter,False,east,seacost
New York,434.7956467247044,7,Morning,26,Monday,9,2022,autumn,True,east,seacost
San Diego,403.5857573178196,4,Night,5,Saturday,3,2016,spring,True,southwestern,seacost
Chicago,311.808620964574,21,Evening,19,Sunday,7,2015,summer,True,midwest,seacost
Chicago,271.30750484802985,12,Afternoon,18,Tuesday,12,2018,winter,False,midwest,seacost
New York,412.2863899874841,4,Night,21,Thursday,12,2017,winter,True,east,seacost
San Antonio,158.60405690155935,0,Night,17,Saturday,7,2021,summer,False,south,inland
San Antonio,269.7887110625836,18,Evening,15,Monday,5,2017,spring,True,south,inland
San Diego,313.0054737369066,5,Night,14,Friday,7,2023,summer,False,southwestern,seacost
Chicago,123.17684586213588,5,Night,21,Friday,10,2022,autumn,False,midwest,seacost
Los Angeles,237.22538502102145,7,Morning,8,Friday,5,2020,spring,False,west,seacost
San Jose,194.4422582844495,14,Afternoon,17,Wednesday,1,2018,winter,False,west,seacost
Philadelphia,385.2756413527458,9,Morning,12,Saturday,9,2020,autumn,True,east,seacost
Phoenix,195.6740614079976,1,Night,17,Tuesday,5,2022,spring,False,southwestern,inland
Houston,219.42610040970573,9,Morning,30,Tuesday,3,2021,spring,False,south,seacost
San Jose,341.8417549196171,1,Night,6,Monday,2,2017,winter,False,west,seacost
San Diego,243.20368971629287,11,Morning,15,Tuesday,9,2020,autumn,False,southwestern,seacost
Philadelphia,165.59407063825572,22,Evening,28,Thursday,11,2019,autumn,False,east,seacost
Philadelphia,343.7506106305038,9,Morning,23,Wednesday,1,2019,winter,True,east,seacost
Phoenix,137.9695823805516,14,Afternoon,27,Thursday,5,2021,spring,False,southwestern,inland
Phoenix,202.2637965092912,9,Morning,17,Friday,7,2015,summer,False,southwestern,inland
Houston,159.34974637444265,11,Morning,13,Tuesday,6,2017,summer,False,south,seacost
San Jose,179.3533453482102,4,Night,27,Wednesday,5,2020,spring,False,west,seacost
Philadelphia,354.16979452963767,13,Afternoon,2,Monday,7,2018,summer,True,east,seacost
Philadelphia,382.9590671460139,10,Morning,19,Saturday,8,2023,summer,True,east,seacost
San Jose,438.2503974189,22,Evening,10,Thursday,1,2019,winter,True,west,seacost
Houston,309.44220982865943,1,Night,17,Sunday,5,2015,spring,True,south,seacost
Houston,280.29041319370054,22,Evening,15,Monday,2,2021,winter,False,south,seacost
Houston,183.2919334463012,12,Afternoon,17,Thursday,12,2020,winter,False,south,seacost
San Antonio,116.22027799759935,21,Evening,7,Sunday,3,2021,spring,False,south,inland
San Jose,272.1723514241422,16,Afternoon,24,Wednesday,10,2018,autumn,False,west,seacost
Chicago,175.73619412102624,2,Night,28,Friday,5,2021,spring,False,midwest,seacost
San Antonio,126.4975269515966,13,Afternoon,1,Thursday,11,2018,autumn,False,south,inland
San Diego,154.95961090031105,22,Evening,18,Thursday,6,2015,summer,False,southwestern,seacost
Phoenix,245.11887284211576,7,Morning,23,Monday,3,2020,spring,False,southwestern,inland
San Antonio,102.2854917250062,5,Night,23,Sunday,10,2022,autumn,False,south,inland
Phoenix,254.11614970055524,2,Night,26,Friday,6,2015,summer,False,southwestern,inland
Dallas,142.32826198808252,5,Night,11,Thursday,4,2019,spring,False,south,inland
New York,173.8566247760267,21,Evening,20,Friday,11,2015,autumn,False,east,seacost
Dallas,129.7126675324932,20,Evening,23,Monday,5,2016,spring,False,south,inland
Dallas,257.8505176178612,16,Afternoon,22,Saturday,10,2022,autumn,False,south,inland
Chicago,178.88813036468272,0,Night,22,Friday,9,2023,autumn,False,midwest,seacost
San Antonio,184.10789333601969,5,Night,28,Saturday,12,2019,winter,False,south,inland
Houston,232.62113409126167,23,Evening,19,Sunday,11,2017,autumn,False,south,seacost
San Antonio,272.1102347657587,15,Afternoon,13,Wednesday,11,2019,autumn,True,south,inland
Chicago,294.4906230507188,18,Evening,27,Wednesday,5,2015,spring,False,midwest,seacost
Phoenix,154.0655810477429,4,Night,21,Saturday,7,2018,summer,False,southwestern,inland
Chicago,151.55587182987065,6,Morning,10,Monday,8,2015,summer,False,midwest,seacost
Philadelphia,144.39732330951148,3,Night,16,Friday,7,2021,summer,False,east,seacost
